Date,CPI
2002-01,0.349395365
2002-02,0.366040766
2002-03,0.351644933
2002-04,0.366790742
2002-05,0.359592378
2002-06,0.343547255
2002-07,0.255823731
2002-08,0.221934006
2002-09,0.210687235
2002-10,0.217584968
2002-11,0.245326847
2002-12,0.227631629
2003-01,0.221934006
2003-02,0.219834626
2003-03,0.219684258
2003-04,0.21233651
2003-05,0.21533601
2003-06,0.261671752
2003-07,0.286264628
2003-08,0.310857534
2003-09,0.34264797
2003-10,0.311756879
2003-11,0.347146422
2003-12,0.325553209
2004-01,0.319104642
2004-02,0.33469975
2004-03,0.360192835
2004-04,0.406528503
2004-05,0.390933514
2004-06,0.420773923
2004-07,0.48435545
2004-08,0.473558843
2004-09,0.537739098
2004-10,0.579877019
2004-11,0.786514997
2004-12,1.016546726
2005-01,0.949066818
2005-02,1.162602782
2005-03,1.334601641
2005-04,1.226333737
2005-05,1.092573404
2005-06,1.208639145
2005-07,1.094672799
2005-08,1.282117367
2005-09,1.387385964
2005-10,1.632712841
2005-11,1.724484801
2005-12,2.147358656
2006-01,2.241830826
2006-02,2.26192379
2006-03,2.072381258
2006-04,1.878938198
2006-05,2.087376118
2006-06,1.864542365
2006-07,1.737981081
2006-08,2.014799118
2006-09,2.050788164
2006-10,2.245129347
2006-11,2.374090672
2006-12,2.738782883
2007-01,2.513249636
2007-02,2.541441441
2007-03,2.611020565
2007-04,2.808660746
2007-05,2.98320961
2007-06,3.550939083
2007-07,3.636713505
2007-08,4.048790455
2007-09,4.323508739
2007-10,4.688797951
2007-11,5.621522427
2007-12,5.364197731
2008-01,5.843453407
2008-02,4.011301994
2008-03,3.650810242
2008-04,4.484560013
2008-05,5.398386478
2008-06,5.58133316
2008-07,5.238834381
2008-08,4.698395252
2008-09,4.984211445
2008-10,3.272622824
2008-11,3.207842112
2008-12,2.667103529
2009-01,2.721686602
2009-02,2.744479418
2009-03,2.637412548
2009-04,3.259726524
2009-05,3.816060305
2009-06,4.179252148
2009-07,4.283618927
2009-08,4.991409302
2009-09,4.957518578
2009-10,5.424179554
2009-11,5.677605152
2009-12,5.907337189
2010-01,6.418384075
2010-02,5.840155602
2010-03,6.267827988
2010-04,7.076985359
2010-05,7.988115311
2010-06,7.822564602
2010-07,7.45217371
2010-08,7.853155136
2010-09,7.507658958
2010-10,8.473067284
2010-11,9.122677803
2010-12,9.48916626
2011-01,9.884147644
2011-02,10.34780788
2011-03,10.47617149
2011-04,10.33371067
2011-05,10.38529873
2011-06,10.36220741
2011-07,10.2947216
2011-08,11.89894581
2011-09,11.42748833
2011-10,11.23464108
2011-11,11.89174557
2011-12,11.63442326
2012-01,12.33321571
2012-02,13.68161488
2012-03,16.32922554
2012-04,18.55335617
2012-05,17.45868111
2012-06,16.82467651
2012-07,17.7702961
2012-08,18.19885826
2012-09,20.32996941
2012-10,19.86070442
2012-11,17.96767616
2012-12,17.73657036
2013-01,16.61220741
2013-02,13.72535419
2013-03,13.10080433
2013-04,13.05332661
2013-05,13.36922932
2013-06,13.80788136
2013-07,12.53651905
2013-08,13.99046898
2013-09,15.06655598
2013-10,15.04743862
2013-11,16.03639793
2013-12,17.09776688
2014-01,17.15670776
2014-02,15.55619431
2014-03,16.46777153
2014-04,16.90118408
2014-05,18.45603561
2014-06,19.72541809
2014-07,20.54092026
2014-08,21.11418343
2014-09,22.80187798
2014-10,21.89244843
2014-11,24.14835548
2014-12,25.51006126
2015-01,24.23755646
2015-02,26.29928398
2015-03,28.73112488
2015-04,27.65390587
2015-05,28.69996643
2015-06,29.17519951
2015-07,28.29463005
2015-08,26.47089767
2015-09,24.18398857
2015-10,24.60157776
2015-11,27.20587349
2015-12,26.45652008
2016-01,23.75315666
2016-02,21.74197197
2016-03,22.78938293
2016-04,24.9338932
2016-05,21.22747421
2016-06,22.4560318
2016-07,21.86987877
2016-08,24.18709564
2016-09,24.47405434
2016-10,25.80174446
2016-11,25.56555748
2016-12,25.23584557
2017-01,26.77088165
2017-02,29.67499733
2017-03,32.35924911
2017-04,33.26436234
2017-05,33.93102264
2017-06,35.60519791
2017-07,33.35518265
2017-08,34.87765121
2017-09,38.28156662
2017-10,35.89202118
2017-11,38.94427872
2017-12,40.05852509
2018-01,40.34188461
2018-02,39.29270935
2018-03,41.1506691
2018-04,39.1942482
2018-05,39.76331711
2018-06,44.90680695
2018-07,44.18447495
2018-08,47.5647583
2018-09,54.09422302
2018-10,53.83364487
2018-11,52.63976669
2018-12,43.93316269
2019-01,37.53881836
2019-02,39.58310318
2019-03,41.7701149
2019-04,45.65420151
2019-05,50.2568779
2019-06,41.53076935
2019-07,48.30078506
2019-08,49.94954681
2019-09,49.48260498
2019-10,54.02673721
2019-11,61.53933716
2019-12,63.73636627
2020-01,72.46827698
2020-02,74.47328949
2020-03,72.26779175
2020-04,58.26457214
2020-05,69.91217041
2020-06,78.05078125
2020-07,88.29910278
2020-08,105.6722794
2020-09,130.392868
2020-10,113.4937057
2020-11,105.7000351
2020-12,119.4620667
2021-01,125.9744644
2021-02,130.5789032
2021-03,124.5833664
2021-04,119.9135437
2021-05,129.2141571
2021-06,121.3672485
2021-07,134.0527954
2021-08,142.1094208
2021-09,149.1587677
2021-10,139.5154114
2021-11,145.6867828
2021-12,161.3845673
2022-01,178.2702942
2022-02,171.0223541
2022-03,160.0504761
2022-04,170.9460754
2022-05,154.9115906
2022-06,146.0543823
2022-07,136.4489899
2022-08,158.6257782
2022-09,155.3546906
2022-10,140.1005249
2022-11,148.1652527
2022-12,146.1058197
2023-01,123.2112122
2023-02,143.2686005
2023-03,143.368988
2023-04,163.9503326
2023-05,167.324646
2023-06,177.9301147
2023-07,190.1517944
2023-08,193.2640228
2023-09,187.4405518
2023-10,171.897995
2023-11,172.1156616
2023-12,189.4508362
2024-01,183.9032593
2024-02,185.1118164
2024-03,178.2062988
2024-04,168.6542053
2024-05,167.9301147
2024-06,192.7210388
2024-07,215.2877655
2024-08,216.8869324
2024-09,221.5233002
2024-10,224.9440308
2024-11,221.6625061
2024-12,238.5112762
2025-01,242.7521057
2025-02,226.9834137
2025-03,237.2188263
2025-04,222.4293976
2025-05,212.5930481
2025-06,201.2762299
2025-07,207.3833771
2025-08,201.9548035
2025-09,229.4975281
2025-10,255.2026062
2025-11,268.7894287
2025-12,283.1000061
2026-01,271.0100098
